cee_id,cee_type,cee_source_vessel,focal_animals,date_YYYYMMDD,start_HHMMSS,end_HHMMSS,lon_start,lat_start,lon_end,lat_end
17_01,simulated mfas,Kahuna,Zc17_234a;Gm17_234a,20170822,184100,185400,-74.7699,35.5475,-74.7511,35.5639
17_02,real mfas,USS Macfaul,ZcTag068;GmTag182,20170912,160346,170246,-74.2597,36.075,-74.73467,35.9503
18_01,simulated mfas,Kahuna,GmTag197,20180515,142045,145045,-74.79169,35.89841,-74.78449,35.90507
18_02,simulated mfas,Kahuna,Gm18_145a;GmTag197,20180525,163300,170300,-74.73924,35.66087,-74.73707,35.66393
18_03,simulated mfas,Kahuna,Gm18_150b,20180530,174900,181900,-74.81288,35.87765,-74.82071,35.88489
18_04,real mfas,USS Nitze,ZcTag069;ZcTag070;GmTag198;GmTag201;GmTag202,20180603,160004,170004,-74.36027,35.85405,-74.42361,35.75417
18_05,control,Barber,Gm18_157b,20180606,184800,191800,-74.768605,35.599188,-74.761562,35.604053
18_06,real mfas,USS Ramage,ZcTag069;GmTag203;GmTag204;GmTag205,20180613,140600,150600,-74.737,35.818,-74.736,35.6915
18_07,control,Kahuna,Gm18_227a,20180815,160000,163000,-74.795325,35.750985,-74.796618,35.759158
18_08,simulated mfas,Kahuna,Gm18_239a,20180827,185600,192600,-74.786848,35.848087,-74.778645,35.854292
19_01,simulated mfas,Hog Wild,ZcTag082_DUML;ZcTag083_DUML,20190521,150450,151115,-74.755902,35.40247,-74.748435,35.40688
19_02,simulated mfas,Kahuna,ZcTag089_DUML;ZcTag086_DUML,20190607,151309,154309,-74.806143,35.423072,-74.776073,35.49813
19_03,simulated mfas,Kahuna,Zc19_218a;ZcTag093_DUML,20190806,173743,180743,-74.76018,35.5973,-74.75063,35.60955
19_04,simulated mfas,Kahuna,ZcTag095_DUML;ZcTag096_DUML;ZcTag097_DUML,20190819,191100,194100,-74.77575,35.78798,-74.763427,35.80173
20_01,real mfas,USS Cole,ZcTag098_DUML;GmTag228_DUML,20200715,150300,160300,-74.718,36.102,-74.655,35.983
20_02,real mfas,USS Laboon,ZcTag099_DUML;ZcTag100_DUML,20200730,105900,115900,-74.4492,35.9499,-74.4668,35.8158
20_03,simulated mfas,Shearwater,Zc20_232a;ZcTag108_DUML,20200819,174323,181322,-74.657,35.4843,-74.6331,35.5202
21_01,real mfas,USS Farragut,ZcTag122_DUML;ZcTag123_DUML;ZcTag124_DUML,20210730,170500,180500,-74.672,36.109,-74.684,35.95
21_02,real mfas,USS Delbert D Black,ZcTag125_DUML;ZcTag126_DUML,20210925,202900,214100,-74.732,36.167,-74.7167,36
