"DeployID","Ptt","DepthSensor","Source","Instr","Day","Time","LocationQuality","Latitude","Longitude","Depth","DRange","Temperature","TRange","Activity","ARange","Date","original"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","16:25:00",NA,NA,NA,428,52.5,NA,NA,NA,NA,1559060700,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","16:30:00",NA,NA,NA,951,105.5,NA,NA,NA,NA,1559061000,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","16:35:00",NA,NA,NA,1331,109.5,NA,NA,NA,NA,1559061300,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","16:40:00",NA,NA,NA,1141,107.5,NA,NA,NA,NA,1559061600,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","16:45:00",NA,NA,NA,1141,107.5,NA,NA,NA,NA,1559061900,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","16:50:00",NA,NA,NA,1141,107.5,NA,NA,NA,NA,1559062200,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","16:55:00",NA,NA,NA,1141,107.5,NA,NA,NA,NA,1559062500,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","17:00:00",NA,NA,NA,1141,107.5,NA,NA,NA,NA,1559062800,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","17:05:00",NA,NA,NA,1141,107.5,NA,NA,NA,NA,1559063100,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","17:10:00",NA,NA,NA,1141,107.5,NA,NA,NA,NA,1559063400,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","17:15:00",NA,NA,NA,1141,107.5,NA,NA,NA,NA,1559063700,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","17:20:00",NA,NA,NA,951,105.5,NA,NA,NA,NA,1559064000,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","17:25:00",NA,NA,NA,618,54.5,NA,NA,NA,NA,1559064300,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","17:30:00",NA,NA,NA,333,51.5,NA,NA,NA,NA,1559064600,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","17:35:00",NA,NA,NA,12,12.5,NA,NA,NA,NA,1559064900,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","17:40:00",NA,NA,NA,214,26.5,NA,NA,NA,NA,1559065200,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","17:45:00",NA,NA,NA,333,51.5,NA,NA,NA,NA,1559065500,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","17:50:00",NA,NA,NA,167,26,NA,NA,NA,NA,1559065800,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","17:55:00",NA,NA,NA,12,12.5,NA,NA,NA,NA,1559066100,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","18:00:00",NA,NA,NA,214,26.5,NA,NA,NA,NA,1559066400,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","18:05:00",NA,NA,NA,333,51.5,NA,NA,NA,NA,1559066700,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","18:10:00",NA,NA,NA,214,26.5,NA,NA,NA,NA,1559067000,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","18:15:00",NA,NA,NA,12,12.5,NA,NA,NA,NA,1559067300,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","18:20:00",NA,NA,NA,214,26.5,NA,NA,NA,NA,1559067600,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","18:25:00",NA,NA,NA,333,51.5,NA,NA,NA,NA,1559067900,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","18:30:00",NA,NA,NA,333,51.5,NA,NA,NA,NA,1559068200,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","18:35:00",NA,NA,NA,12,12.5,NA,NA,NA,NA,1559068500,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","18:40:00",NA,NA,NA,167,26,NA,NA,NA,NA,1559068800,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","18:45:00",NA,NA,NA,262,27,NA,NA,NA,NA,1559069100,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","18:50:00",NA,NA,NA,167,26,NA,NA,NA,NA,1559069400,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","18:55:00",NA,NA,NA,12,12.5,NA,NA,NA,NA,1559069700,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","19:00:00",NA,NA,NA,428,52.5,NA,NA,NA,NA,1559070000,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","19:05:00",NA,NA,NA,951,105.5,NA,NA,NA,NA,1559070300,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","19:10:00",NA,NA,NA,1141,107.5,NA,NA,NA,NA,1559070600,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","19:15:00",NA,NA,NA,1141,107.5,NA,NA,NA,NA,1559070900,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","19:20:00",NA,NA,NA,1141,107.5,NA,NA,NA,NA,1559071200,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","19:25:00",NA,NA,NA,1141,107.5,NA,NA,NA,NA,1559071500,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","19:30:00",NA,NA,NA,1141,107.5,NA,NA,NA,NA,1559071800,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","19:35:00",NA,NA,NA,951,105.5,NA,NA,NA,NA,1559072100,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","19:40:00",NA,NA,NA,523,53.5,NA,NA,NA,NA,1559072400,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","19:45:00",NA,NA,NA,119,25.5,NA,NA,NA,NA,1559072700,"portal"
"ZcTag086",180759,1,"Transmission","Mk10","28-May-2019","19:50:00",NA,NA,NA,119,25.5,NA,NA,NA,NA,1559073000,"portal"
