"DeployID","Ptt","DepthSensor","Source","Instr","Count","Start","End","LocationQuality","Latitude","Longitude","MinDepth","MinDepthAccuracy","MaxDepth","MaxDepthAccuracy","MinTemp","MinTempAccuracy","MaxTemp","MaxTempAccuracy","MobMean","MobSD","ActivitySum","original"
"ZcTag069",171941,1,"Transmission","Mk10",16,1527163200,1527177600,NA,NA,NA,240,2.5,640,7.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",9,1527177600,1527192000,NA,NA,NA,0,0,1424,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",10,1527192000,1527206400,NA,NA,NA,0,0,1168,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",8,1527206400,1527220800,NA,NA,NA,0,0,1200,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",9,1527220800,1527235200,NA,NA,NA,0,0,1040,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",10,1527235200,1527249600,NA,NA,NA,0,0,1072,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",9,1527249600,1527264000,NA,NA,NA,0,0,1168,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",11,1527264000,1527278400,NA,NA,NA,0,0,1136,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",8,1527278400,1527292800,NA,NA,NA,0,0,1360,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",8,1527292800,1527307200,NA,NA,NA,0,0,1168,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",9,1527307200,1527321600,NA,NA,NA,0,0,1520,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",12,1527321600,1527336000,NA,NA,NA,0,0,1616,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",9,1527336000,1527350400,NA,NA,NA,0,0,816,7.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",12,1527350400,1527364800,NA,NA,NA,0,0,1648,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",11,1527364800,1527379200,NA,NA,NA,0,0,1168,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",10,1527379200,1527393600,NA,NA,NA,0,0,1520,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",9,1527393600,1527408000,NA,NA,NA,0,0,1200,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",3,1527408000,1527422400,NA,NA,NA,0,0,1328,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",8,1527422400,1527436800,NA,NA,NA,0,0,1264,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",5,1527436800,1527451200,NA,NA,NA,0,0,944,7.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",8,1527451200,1527465600,NA,NA,NA,0,0,1104,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",6,1527465600,1527480000,NA,NA,NA,0,0,1296,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",10,1527480000,1527494400,NA,NA,NA,0,0,1296,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",11,1527494400,1527508800,NA,NA,NA,0,0,1168,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",11,1527508800,1527523200,NA,NA,NA,0,0,1200,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",9,1527523200,1527537600,NA,NA,NA,0,0,1488,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",6,1527537600,1527552000,NA,NA,NA,0,0,1360,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",10,1527552000,1527566400,NA,NA,NA,0,0,1296,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",10,1527566400,1527580800,NA,NA,NA,0,0,1392,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",4,1527580800,1527595200,NA,NA,NA,0,0,1488,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",2,1527595200,1527609600,NA,NA,NA,0,0,1360,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",5,1527609600,1527624000,NA,NA,NA,0,0,1328,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",8,1527624000,1527638400,NA,NA,NA,0,0,1104,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",7,1527638400,1527652800,NA,NA,NA,0,0,1296,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",6,1527652800,1527667200,NA,NA,NA,0,0,1296,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",6,1527667200,1527681600,NA,NA,NA,0,0,1232,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",4,1527681600,1527696000,NA,NA,NA,0,0,1104,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",4,1527696000,1527710400,NA,NA,NA,0,0,1104,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",1,1527710400,1527724800,NA,NA,NA,0,0,1168,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",2,1527724800,1527739200,NA,NA,NA,0,0,1648,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",2,1527739200,1527753600,NA,NA,NA,0,0,1904,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",6,1527753600,1527768000,NA,NA,NA,0,0,1680,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",6,1527768000,1527782400,NA,NA,NA,0,0,1264,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",5,1527782400,1527796800,NA,NA,NA,0,0,1264,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",2,1527796800,1527811200,NA,NA,NA,0,0,944,7.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",4,1527811200,1527825600,NA,NA,NA,0,0,1168,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",6,1527825600,1527840000,NA,NA,NA,0,0,1200,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
"ZcTag069",171941,1,"Transmission","Mk10",4,1527840000,1527854400,NA,NA,NA,0,0,1104,15.5,NA,NA,NA,NA,NA,NA,NA,"portal"
