"DeployID","Ptt","DepthSensor","Source","Instr","Day","Time","LocationQuality","Latitude","Longitude","Depth","DRange","Temperature","TRange","Activity","ARange","Date","original"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","16:45:00",NA,NA,NA,155,24.5,NA,NA,NA,NA,1565628300,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","16:50:00",NA,NA,NA,310,48.5,NA,NA,NA,NA,1565628600,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","16:55:00",NA,NA,NA,310,48.5,NA,NA,NA,NA,1565628900,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","17:00:00",NA,NA,NA,310,48.5,NA,NA,NA,NA,1565629200,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","17:05:00",NA,NA,NA,11,11.5,NA,NA,NA,NA,1565629500,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","17:10:00",NA,NA,NA,200,25,NA,NA,NA,NA,1565629800,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","17:15:00",NA,NA,NA,11,11.5,NA,NA,NA,NA,1565630100,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","17:20:00",NA,NA,NA,399,49.5,NA,NA,NA,NA,1565630400,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","17:25:00",NA,NA,NA,887,99,NA,NA,NA,NA,1565630700,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","17:30:00",NA,NA,NA,1241,103.5,NA,NA,NA,NA,1565631000,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","17:35:00",NA,NA,NA,1241,103.5,NA,NA,NA,NA,1565631300,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","17:40:00",NA,NA,NA,1241,103.5,NA,NA,NA,NA,1565631600,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","17:45:00",NA,NA,NA,1241,103.5,NA,NA,NA,NA,1565631900,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","17:50:00",NA,NA,NA,1064,101,NA,NA,NA,NA,1565632200,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","17:55:00",NA,NA,NA,887,99,NA,NA,NA,NA,1565632500,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","18:00:00",NA,NA,NA,710,97,NA,NA,NA,NA,1565632800,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","18:05:00",NA,NA,NA,576,51.5,NA,NA,NA,NA,1565633100,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","18:10:00",NA,NA,NA,399,49.5,NA,NA,NA,NA,1565633400,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","18:15:00",NA,NA,NA,155,24.5,NA,NA,NA,NA,1565633700,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","18:20:00",NA,NA,NA,77,12.5,NA,NA,NA,NA,1565634000,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","18:25:00",NA,NA,NA,310,48.5,NA,NA,NA,NA,1565634300,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","18:30:00",NA,NA,NA,310,48.5,NA,NA,NA,NA,1565634600,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","18:35:00",NA,NA,NA,310,48.5,NA,NA,NA,NA,1565634900,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","18:40:00",NA,NA,NA,111,24,NA,NA,NA,NA,1565635200,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","18:45:00",NA,NA,NA,200,25,NA,NA,NA,NA,1565635500,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","18:50:00",NA,NA,NA,399,49.5,NA,NA,NA,NA,1565635800,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","18:55:00",NA,NA,NA,399,49.5,NA,NA,NA,NA,1565636100,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","19:00:00",NA,NA,NA,310,48.5,NA,NA,NA,NA,1565636400,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","19:05:00",NA,NA,NA,11,11.5,NA,NA,NA,NA,1565636700,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","19:10:00",NA,NA,NA,200,25,NA,NA,NA,NA,1565637000,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","19:15:00",NA,NA,NA,310,48.5,NA,NA,NA,NA,1565637300,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","19:20:00",NA,NA,NA,399,49.5,NA,NA,NA,NA,1565637600,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","19:25:00",NA,NA,NA,200,25,NA,NA,NA,NA,1565637900,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","19:30:00",NA,NA,NA,77,12.5,NA,NA,NA,NA,1565638200,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","19:35:00",NA,NA,NA,244,25,NA,NA,NA,NA,1565638500,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","19:40:00",NA,NA,NA,310,48.5,NA,NA,NA,NA,1565638800,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","19:45:00",NA,NA,NA,310,48.5,NA,NA,NA,NA,1565639100,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","19:50:00",NA,NA,NA,77,12.5,NA,NA,NA,NA,1565639400,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","19:55:00",NA,NA,NA,111,24,NA,NA,NA,NA,1565639700,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","20:00:00",NA,NA,NA,256,27,NA,NA,NA,NA,1565640000,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","20:05:00",NA,NA,NA,325,51.5,NA,NA,NA,NA,1565640300,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","20:10:00",NA,NA,NA,256,27,NA,NA,NA,NA,1565640600,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","20:15:00",NA,NA,NA,12,12,NA,NA,NA,NA,1565640900,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","20:20:00",NA,NA,NA,163,26,NA,NA,NA,NA,1565641200,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","20:25:00",NA,NA,NA,209,26.5,NA,NA,NA,NA,1565641500,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","20:30:00",NA,NA,NA,256,27,NA,NA,NA,NA,1565641800,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","20:35:00",NA,NA,NA,12,12,NA,NA,NA,NA,1565642100,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","20:40:00",NA,NA,NA,163,26,NA,NA,NA,NA,1565642400,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","20:45:00",NA,NA,NA,744,103,NA,NA,NA,NA,1565642700,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","20:50:00",NA,NA,NA,1115,108,NA,NA,NA,NA,1565643000,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","20:55:00",NA,NA,NA,1115,108,NA,NA,NA,NA,1565643300,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","21:00:00",NA,NA,NA,1300,110.5,NA,NA,NA,NA,1565643600,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","21:05:00",NA,NA,NA,1300,110.5,NA,NA,NA,NA,1565643900,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","21:10:00",NA,NA,NA,1115,108,NA,NA,NA,NA,1565644200,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","21:15:00",NA,NA,NA,929,105.5,NA,NA,NA,NA,1565644500,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","21:20:00",NA,NA,NA,929,105.5,NA,NA,NA,NA,1565644800,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","21:25:00",NA,NA,NA,744,103,NA,NA,NA,NA,1565645100,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","21:30:00",NA,NA,NA,511,53.5,NA,NA,NA,NA,1565645400,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","21:35:00",NA,NA,NA,418,52.5,NA,NA,NA,NA,1565645700,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","21:40:00",NA,NA,NA,325,51.5,NA,NA,NA,NA,1565646000,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","21:45:00",NA,NA,NA,116,25.5,NA,NA,NA,NA,1565646300,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","21:50:00",NA,NA,NA,163,26,NA,NA,NA,NA,1565646600,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","21:55:00",NA,NA,NA,325,51.5,NA,NA,NA,NA,1565646900,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","22:00:00",NA,NA,NA,325,51.5,NA,NA,NA,NA,1565647200,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","22:05:00",NA,NA,NA,209,26.5,NA,NA,NA,NA,1565647500,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","22:10:00",NA,NA,NA,12,12,NA,NA,NA,NA,1565647800,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","22:15:00",NA,NA,NA,209,26.5,NA,NA,NA,NA,1565648100,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","22:20:00",NA,NA,NA,325,51.5,NA,NA,NA,NA,1565648400,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","22:25:00",NA,NA,NA,256,27,NA,NA,NA,NA,1565648700,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","22:30:00",NA,NA,NA,58,13,NA,NA,NA,NA,1565649000,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","22:35:00",NA,NA,NA,163,26,NA,NA,NA,NA,1565649300,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","22:40:00",NA,NA,NA,325,51.5,NA,NA,NA,NA,1565649600,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","22:45:00",NA,NA,NA,256,27,NA,NA,NA,NA,1565649900,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","22:50:00",NA,NA,NA,58,13,NA,NA,NA,NA,1565650200,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","22:55:00",NA,NA,NA,209,26.5,NA,NA,NA,NA,1565650500,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","23:00:00",NA,NA,NA,325,51.5,NA,NA,NA,NA,1565650800,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","23:05:00",NA,NA,NA,256,27,NA,NA,NA,NA,1565651100,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","23:10:00",NA,NA,NA,116,25.5,NA,NA,NA,NA,1565651400,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","23:15:00",NA,NA,NA,163,26,NA,NA,NA,NA,1565651700,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","23:20:00",NA,NA,NA,325,51.5,NA,NA,NA,NA,1565652000,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","23:25:00",NA,NA,NA,256,27,NA,NA,NA,NA,1565652300,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","23:30:00",NA,NA,NA,12,12,NA,NA,NA,NA,1565652600,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","23:35:00",NA,NA,NA,325,51.5,NA,NA,NA,NA,1565652900,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","23:40:00",NA,NA,NA,929,105.5,NA,NA,NA,NA,1565653200,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","23:45:00",NA,NA,NA,1115,108,NA,NA,NA,NA,1565653500,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","23:50:00",NA,NA,NA,1300,110.5,NA,NA,NA,NA,1565653800,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","12-Aug-2019","23:55:00",NA,NA,NA,1300,110.5,NA,NA,NA,NA,1565654100,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","13-Aug-2019","00:00:00",NA,NA,NA,1211,104,NA,NA,NA,NA,1565654400,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","13-Aug-2019","00:05:00",NA,NA,NA,1038,101,NA,NA,NA,NA,1565654700,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","13-Aug-2019","00:10:00",NA,NA,NA,865,99,NA,NA,NA,NA,1565655000,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","13-Aug-2019","00:15:00",NA,NA,NA,562,51.5,NA,NA,NA,NA,1565655300,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","13-Aug-2019","00:20:00",NA,NA,NA,303,48,NA,NA,NA,NA,1565655600,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","13-Aug-2019","00:25:00",NA,NA,NA,11,11,NA,NA,NA,NA,1565655900,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","13-Aug-2019","00:30:00",NA,NA,NA,195,25,NA,NA,NA,NA,1565656200,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","13-Aug-2019","00:35:00",NA,NA,NA,238,25,NA,NA,NA,NA,1565656500,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","13-Aug-2019","00:40:00",NA,NA,NA,54,12,NA,NA,NA,NA,1565656800,"portal"
"ZcTag096",180774,1,"Transmission","Mk10","13-Aug-2019","00:45:00",NA,NA,NA,32,11.5,NA,NA,NA,NA,1565657100,"portal"
