deployid,sex,baseline_end,cee_start,Exposure
ZcTag069,,5/25/2018  4:33:00 PM UTC,6/3/2018  4:00:04 PM UTC,CEE
ZcTag073,,20180815 16:00:00,20180815 16:00:00,Scaled
ZcTag075,,20180815 16:00:00,20180815 16:00:00,Scaled
ZcTag080,,20180815 16:00:00,20180815 16:00:00,Scaled
ZcTag082,,20190521 15:04:50,20190521 15:04:50,Scaled
ZcTag083,,20190521 15:04:50,20190521 15:04:50,Scaled
ZcTag084,m,,,
ZcTag085,u,6/7/2019  3:13:09 PM UTC,6/7/2019  3:13:09 PM UTC,Scaled
ZcTag086,m,6/7/2019  3:13:09 PM UTC,6/7/2019  3:13:09 PM UTC,Scaled
ZcTag087,,20190607 15:13:09,20190607 15:13:09,Scaled
ZcTag088,,20190607 15:13:09,20190607 15:13:09,Scaled
ZcTag089,,20190607 15:13:09,20190607 15:13:09,Scaled
ZcTag090,,,,
ZcTag091,,,,
ZcTag092,,20190806 17:37:43,20190806 17:37:43,Scaled
ZcTag093,u,8/6/2019 5:37:43 PM UTC,8/6/2019  5:37:43 PM UTC,Scaled
ZcTag094,,,,
ZcTag095,m,8/19/2019 7:11:00 PM UTC,8/19/2019  7:11:00 PM UTC,Scaled
ZcTag096,m,8/19/2019  7:11:00 PM UTC,8/19/2019  7:11:00 PM UTC,Scaled
ZcTag097,u,8/19/2019  7:11:00 PM UTC,8/19/2019  7:11:00 PM UTC,Scaled
ZcTag099,,20200730 10:59:00,20200730 10:59:00,CEE
ZcTag100,,20200730 10:59:00,20200730 10:59:00,CEE
ZcTag101,,20200819 17:43:23,20200819 17:43:23,Scaled
ZcTag102,,20200819 17:43:23,20200819 17:43:23,Scaled
ZcTag103,,20200819 17:43:23,20200819 17:43:23,Scaled
ZcTag105,,20200819 17:43:23,20200819 17:43:23,Scaled
ZcTag106,,20200819 17:43:23,20200819 17:43:23,Scaled
ZcTag107,,20200819 17:43:23,20200819 17:43:23,Scaled
ZcTag108,,20200819 17:43:23,20200819 17:43:23,Scaled
ZcTag111,,20200819 17:43:23,20200819 17:43:23,Scaled
ZcTag122,,20210730 17:05:00,20210730 17:05:00,CEE
ZcTag123,,20210730 17:05:00,20210730 17:05:00,CEE
ZcTag124,,20210730 17:05:00,20210730 17:05:00,CEE
ZcTag126,,20210730 17:05:00,20210730 17:05:00,CEE
